,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,85,ZA,1555791410,82,-34.53,20.04,59.0,3.36
1,Avarua,13,CK,1555790400,60,-21.21,-159.78,75.2,11.41
2,Tuktoyaktuk,90,CA,1555790400,85,69.44,-133.03,23.0,10.29
3,Bluff,5,AU,1555792169,83,-23.58,149.07,68.81,15.79
4,Somerset,75,US,1555792025,87,37.09,-84.6,46.0,5.82
5,Kaitangata,75,NZ,1555792048,80,-46.28,169.85,53.01,4.0
6,Busselton,30,AU,1555792044,66,-33.64,115.35,39.99,8.19
7,Hermanus,75,ZA,1555791410,96,-34.42,19.24,59.0,10.2
8,Along,6,IN,1555792170,83,28.17,94.8,45.77,5.14
9,Axim,97,GH,1555792170,80,4.87,-2.24,82.67,8.66
10,Ponta do Sol,0,BR,1555792170,77,-20.63,-46.0,67.55,4.0
11,Coquimbo,0,CL,1555790400,63,-29.95,-71.34,62.6,12.75
12,Mataura,0,NZ,1555791005,97,-46.19,168.86,45.0,0.87
13,Hobart,75,AU,1555792156,82,-42.88,147.33,64.0,5.82
14,Taoudenni,0,ML,1555792171,12,22.68,-3.98,85.91,12.97
15,Arraial do Cabo,20,BR,1555790400,78,-22.97,-42.02,82.4,6.93
16,Trelleborg,0,SE,1555792083,36,55.38,13.15,53.01,3.36
17,Thompson,40,CA,1555790400,59,55.74,-97.86,33.8,12.75
18,Butaritari,97,KI,1555792172,77,3.07,172.79,83.03,14.43
19,Vardo,1,US,1555792041,35,39.62,-77.74,73.4,18.34
20,Esso,44,RU,1555792173,93,55.93,158.7,21.83,4.12
21,Carnarvon,99,ZA,1555792173,33,-30.97,22.13,58.01,15.03
22,Billings,75,US,1555792006,48,45.79,-108.5,66.0,18.34
23,Port Lincoln,5,AU,1555792173,66,-34.72,135.86,61.97,18.12
24,Sooke,20,CA,1555792020,71,48.37,-123.73,63.0,6.93
25,Nanortalik,86,GL,1555792144,95,60.14,-45.24,31.55,9.46
26,Rikitea,48,PF,1555792174,81,-23.12,-134.97,78.71,15.93
27,Hilo,75,US,1555791852,65,19.71,-155.08,78.01,4.7
28,Cape Town,20,ZA,1555792023,77,-33.93,18.42,62.01,13.87
29,Kloulklubed,75,PW,1555789800,88,7.04,134.26,77.0,6.93
30,Stryn,96,NO,1555791903,52,61.9,6.72,51.01,8.99
31,Qaanaaq,99,GL,1555792175,81,77.48,-69.36,-8.59,3.94
32,Bonthe,26,SL,1555792175,76,7.53,-12.5,83.57,7.47
33,Yellowknife,75,CA,1555791166,68,62.45,-114.38,26.6,5.82
34,Santa Cruz del Norte,75,CU,1555791782,57,23.15,-81.92,78.8,13.87
35,Dikson,100,RU,1555792176,89,73.51,80.55,1.31,15.28
36,Barrow,0,AR,1555792176,60,-38.31,-60.23,59.09,8.41
37,Lebu,100,ET,1555792176,79,8.96,38.73,60.35,6.58
38,Vaini,20,IN,1555790400,78,15.34,74.49,71.6,3.36
39,Mayo,90,CA,1555790400,41,63.59,-135.9,42.8,2.24
40,Puerto Ayora,20,EC,1555791504,70,-0.74,-90.35,86.0,9.17
41,Kapaa,1,US,1555792113,61,22.08,-159.32,80.6,16.11
42,Nikolskoye,0,RU,1555792145,86,59.7,30.79,39.2,4.0
43,Albany,90,US,1555792025,82,42.65,-73.75,70.0,10.29
44,Longyearbyen,90,NO,1555789800,86,78.22,15.63,30.2,21.92
45,New Norfolk,75,AU,1555792156,82,-42.78,147.06,64.0,5.82
46,Vostok,55,RU,1555792179,49,46.45,135.83,32.99,5.37
47,Manta,48,RO,1555792179,72,45.1,24.1,44.33,3.44
48,Aklavik,75,CA,1555790400,73,68.22,-135.01,28.4,6.93
49,Kavaratti,100,IN,1555792179,72,10.57,72.64,84.11,12.12
50,Pevek,100,RU,1555792180,92,69.7,170.27,9.95,11.05
51,Cabo San Lucas,20,MX,1555791425,61,22.89,-109.91,95.0,2.24
52,Comodoro Rivadavia,0,AR,1555790400,43,-45.87,-67.48,69.8,4.7
53,Ushuaia,90,AR,1555790400,93,-54.81,-68.31,42.8,25.28
54,Lincoln,2,GB,1555791979,66,53.23,-0.54,61.0,6.93
55,Dukat,1,RS,1555791819,53,42.44,22.31,45.0,4.34
56,Severo-Kurilsk,53,RU,1555792181,82,50.68,156.12,34.79,14.81
57,Idenao,100,CM,1555792181,84,4.25,9.0,81.95,11.21
58,Husavik,100,CA,1555791906,39,50.56,-96.99,61.0,2.86
59,Kabwe,9,ZM,1555792181,94,-14.44,28.44,61.25,3.65
60,Tasiilaq,100,GL,1555789800,86,65.61,-37.64,33.8,23.04
61,San Juan Bautista,100,PY,1555792182,79,-26.67,-57.15,81.41,5.37
62,Olinda,20,EC,1555791900,59,-2.03,-79.75,91.0,5.82
63,Chuy,11,UY,1555792183,65,-33.69,-53.46,65.39,13.42
64,Saint-Pierre,0,FR,1555792050,48,48.95,4.24,62.6,9.17
65,Laguna,5,MX,1555789260,29,27.52,-110.01,87.8,10.29
66,Sechura,50,PE,1555792184,73,-5.56,-80.82,74.75,15.93
67,Clyde River,75,CA,1555790400,77,70.47,-68.59,-0.41,21.92
68,Were Ilu,100,ET,1555792185,71,10.6,39.43,65.75,0.98
69,Saint-Philippe,90,CA,1555792183,93,45.36,-73.48,46.99,16.11
70,Mahebourg,40,MU,1555791544,83,-20.41,57.7,79.0,12.75
71,Lovozero,98,RU,1555792186,91,68.01,35.02,36.23,6.4
72,Codrington,40,AU,1555791900,100,-28.95,153.24,69.8,2.24
73,Faanui,2,PF,1555792187,72,-16.48,-151.75,84.11,6.93
74,Pitimbu,40,BR,1555790400,100,-7.47,-34.81,77.0,2.24
75,Lingyuan,13,CN,1555792188,26,41.24,119.4,44.15,2.89
76,Provideniya,86,RU,1555792188,64,64.42,-173.23,7.61,2.71
77,Kangaatsiaq,93,GL,1555792188,67,68.31,-53.46,25.43,8.01
78,Mount Pleasant,1,US,1555791993,33,33.16,-94.97,75.99,5.82
